time,open,high,low,close,volume,index_code
2025-04-14,1318.17,1329.06,1310.63,1325.87,394180470,VN30
2025-04-15,1314.3,1329.99,1303.29,1310.76,385242095,VN30
2025-04-16,1310.07,1318.86,1288.06,1293.25,286928695,VN30
2025-04-17,1286.11,1304.47,1283.47,1303.03,278893951,VN30
2025-04-18,1313.42,1322.26,1306.24,1306.24,409781269,VN30
2025-04-21,1305.81,1310.59,1287.02,1294.29,327239496,VN30
2025-04-22,1287.55,1292.67,1216.35,1290.38,641676880,VN30
2025-04-23,1300.25,1311.72,1290.38,1303.04,347261298,VN30
2025-04-24,1306.43,1313.93,1297.21,1311.66,292080861,VN30
2025-04-25,1312.59,1318.66,1304.5,1317.18,384809487,VN30
2025-04-28,1318.09,1321.38,1305.51,1312.32,218591061,VN30
2025-04-29,1310.4,1312.88,1304.74,1309.73,222093864,VN30
2025-05-05,1315.43,1321.68,1309.43,1320.41,206957663,VN30
2025-05-06,1323.33,1331.08,1316.18,1319.66,275527967,VN30
2025-05-07,1317.66,1325.94,1316.27,1324.8,241653068,VN30
2025-05-08,1330.52,1354.08,1324.8,1351.1,324450622,VN30
2025-05-09,1355.06,1363.62,1348.13,1352.25,269928974,VN30
2025-05-12,1358.19,1374.68,1352.03,1372.04,449411114,VN30
2025-05-13,1382.14,1384.01,1370.29,1382.78,370006063,VN30
2025-05-14,1382.54,1400.1,1375.35,1397.87,431685702,VN30
2025-05-15,1398.22,1403.7,1384.67,1401.49,564154888,VN30
2025-05-16,1396.37,1404.13,1382.93,1384.44,303989673,VN30
2025-05-19,1372.87,1391.24,1371.05,1379.75,341011465,VN30
2025-05-20,1383.4,1408.56,1379.75,1407.52,368198652,VN30
2025-05-21,1429.15,1429.43,1407.52,1419.36,410891963,VN30
2025-05-22,1414.16,1432.84,1407.92,1409.56,366294937,VN30
2025-05-23,1408.99,1415.97,1400.83,1409.4,222894432,VN30
2025-05-26,1410.65,1424.01,1374.6,1423.85,332336912,VN30
2025-05-27,1428.68,1430.82,1418.76,1427.45,349862869,VN30
2025-05-28,1429.0,1436.99,1427.02,1432.19,263000447,VN30
2025-05-29,1435.61,1438.03,1424.02,1431.57,291799953,VN30
2025-05-30,1432.69,1436.22,1417.98,1423.68,324398173,VN30
2025-06-02,1421.74,1424.75,1407.73,1423.04,256373994,VN30
2025-06-03,1426.74,1442.55,1423.04,1437.87,344390035,VN30
2025-06-04,1441.0,1442.87,1429.48,1435.28,268871462,VN30
2025-06-05,1434.55,1437.28,1423.41,1432.38,208356792,VN30
2025-06-06,1427.57,1437.24,1412.69,1418.97,280481959,VN30
2025-06-09,1417.55,1418.97,1394.12,1396.56,221093654,VN30
2025-06-10,1392.34,1414.89,1381.43,1404.82,246264841,VN30
2025-06-11,1411.19,1411.95,1390.9,1405.15,167496912,VN30
2025-06-12,1412.25,1418.41,1392.5,1412.16,356731168,VN30
2025-06-13,1397.99,1419.67,1385.02,1401.2,398356869,VN30
2025-06-16,1394.58,1421.27,1382.2,1420.35,310345916,VN30
2025-06-17,1425.47,1440.59,1420.14,1431.39,268914967,VN30
2025-06-18,1432.59,1439.7,1425.74,1432.99,275317419,VN30
2025-06-19,1433.51,1442.46,1426.41,1439.3,252565952,VN30
2025-06-20,1442.13,1443.79,1423.77,1435.19,339884942,VN30
2025-06-23,1426.72,1448.54,1418.81,1448.32,241050507,VN30
2025-06-24,1460.66,1469.01,1448.32,1462.8,327790644,VN30
2025-06-25,1465.61,1470.76,1460.42,1465.36,293885782,VN30
2025-06-26,1468.64,1475.07,1458.98,1463.57,228995712,VN30
2025-06-27,1467.74,1477.89,1459.93,1475.89,281199806,VN30
2025-06-30,1479.09,1481.58,1472.16,1477.56,212317981,VN30
2025-07-01,1479.09,1483.86,1466.97,1476.16,255659150,VN30
2025-07-02,1474.35,1483.02,1468.49,1482.76,246295801,VN30
2025-07-03,1478.93,1493.99,1477.37,1481.2,423626134,VN30
2025-07-04,1484.82,1489.54,1477.29,1488.77,248573076,VN30
2025-07-07,1496.13,1509.81,1488.77,1508.66,568940738,VN30
2025-07-08,1512.72,1529.72,1508.66,1529.27,435179432,VN30
2025-07-09,1535.56,1544.67,1526.77,1543.27,594933272,VN30
2025-07-10,1550.99,1569.4,1543.27,1569.34,433761551,VN30
2025-07-11,1578.39,1601.03,1567.3,1594.01,455688650,VN30
2025-07-14,1613.34,1616.99,1580.8,1605.66,393368620,VN30
2025-07-15,1609.06,1614.13,1593.45,1593.84,442339496,VN30
2025-07-16,1592.87,1614.63,1587.92,1614.42,347232214,VN30
2025-07-17,1621.16,1641.97,1614.42,1634.7,425582315,VN30
2025-07-18,1643.34,1648.18,1625.83,1643.91,459976817,VN30
2025-07-21,1657.49,1663.16,1621.19,1628.06,488738296,VN30
2025-07-22,1626.68,1655.98,1616.16,1655.98,409854761,VN30
2025-07-23,1667.25,1669.14,1650.04,1653.01,491743817,VN30
2025-07-24,1661.92,1663.39,1637.98,1661.23,535686783,VN30
2025-07-25,1658.22,1675.26,1655.36,1669.33,427371217,VN30
2025-07-28,1676.06,1697.14,1664.85,1695.63,646730982,VN30
2025-07-29,1698.52,1702.3,1616.64,1621.29,856058246,VN30
2025-07-30,1631.18,1642.67,1606.54,1630.78,616028512,VN30
2025-07-31,1640.03,1646.75,1602.17,1615.23,643191514,VN30
2025-08-01,1618.76,1621.64,1584.98,1614.11,506721195,VN30
2025-08-04,1610.96,1653.22,1607.13,1653.22,451251955,VN30
2025-08-05,1676.2,1730.14,1653.22,1690.43,1146147784,VN30
2025-08-06,1704.06,1726.58,1690.43,1723.31,542139793,VN30
2025-08-07,1737.62,1742.12,1715.54,1734.85,644627065,VN30
2025-08-08,1739.47,1745.88,1707.9,1729.08,655356113,VN30
2025-08-11,1733.6,1748.67,1726.91,1741.9,610888455,VN30
2025-08-12,1752.13,1756.24,1737.42,1755.25,567387949,VN30
2025-08-13,1762.6,1764.18,1726.89,1753.71,724560540,VN30
2025-08-14,1767.07,1793.78,1762.92,1793.78,802120544,VN30
2025-08-15,1813.43,1827.89,1763.88,1783.25,826095412,VN30
2025-08-18,1791.84,1797.37,1774.47,1786.37,585786452,VN30
2025-08-19,1796.41,1824.81,1790.97,1810.46,752735567,VN30
2025-08-20,1817.71,1828.62,1768.9,1828.46,982136260,VN30
2025-08-21,1840.02,1881.9,1837.23,1874.91,787530293,VN30
2025-08-22,1865.15,1865.15,1794.97,1814.02,987873839,VN30
2025-08-25,1829.6,1830.92,1774.84,1783.12,714532383,VN30
2025-08-26,1783.0,1850.0,1772.39,1849.05,610788979,VN30
2025-08-27,1861.66,1877.27,1842.1,1848.55,684018941,VN30
2025-08-28,1854.31,1866.18,1831.79,1861.2,548866274,VN30
2025-08-29,1872.38,1880.06,1855.28,1865.38,679183869,VN30
2025-09-03,1861.24,1865.59,1846.08,1859.59,559117494,VN30
2025-09-04,1866.18,1883.96,1850.15,1883.59,569268982,VN30
2025-09-05,1894.71,1898.46,1838.57,1845.48,673136592,VN30
2025-09-08,1837.08,1849.12,1805.95,1807.22,815887087,VN30
2025-09-09,1814.42,1825.17,1795.82,1825.17,479572356,VN30
2025-09-10,1833.07,1834.95,1811.28,1828.63,469442434,VN30
2025-09-11,1821.9,1860.19,1785.47,1855.08,550170932,VN30
2025-09-12,1857.99,1869.45,1843.87,1865.45,441860421,VN30
2025-09-15,1868.86,1876.75,1857.47,1876.75,549006594,VN30
2025-09-16,1886.97,1893.36,1869.46,1875.39,605321457,VN30
2025-09-17,1873.11,1884.67,1864.05,1868.85,488641405,VN30
2025-09-18,1873.88,1879.52,1845.46,1861.74,398756702,VN30
2025-09-19,1867.51,1868.54,1838.21,1859.53,409711615,VN30
2025-09-22,1853.66,1857.28,1802.27,1819.6,516859940,VN30
2025-09-23,1819.82,1835.37,1808.95,1821.45,409332537,VN30
2025-09-24,1822.51,1853.48,1801.03,1853.48,509524291,VN30
